Edit Date,Lead ID,Field / Event,Old Value,New Value
2026-09-08T09:32:14.000Z,00QP500000uQZgGMAW,Status,Not reached,Follow-up
2026-09-08T09:30:32.000Z,00QP500000tAgEQMA0,Status,Follow-up,Lost
2026-09-08T09:29:58.000Z,00QP500000uVQsPMAW,Status,Not reached,Appointment
2026-09-08T09:28:27.000Z,00QP500000ublUWMAY,Status,New,Appointment
2026-09-08T09:28:06.000Z,00QP500000siciPMAQ,Status,Follow-up,Lost
2026-09-08T09:26:31.000Z,00QP500000uU5rdMAC,Status,Follow-up,Appointment
2026-09-08T09:23:13.000Z,00QP500000uOWL4MAO,Status,Not reached,Not Qualified
2026-09-08T09:22:00.000Z,00QP500000ucCazMAE,Status,New,Not reached
2026-09-08T09:21:25.000Z,00QP500000uc23lMAA,Status,New,Brochure
2026-09-08T09:20:29.000Z,00QQD00000AQLdy2AH,Status,Re-entered,Not reached
2026-09-08T09:20:22.000Z,00QP500000uU3rSMAS,Status,Not reached,Mailjourney
2026-09-08T09:20:19.000Z,00QP500000sJQW2MAO,Status,Follow-up,Lost
2026-09-08T09:17:58.000Z,00QP500000uRBGrMAO,Status,Not reached,Lost
2026-09-08T09:17:01.000Z,00QP500000ryy1BMAQ,Status,Follow-up,Mailjourney
2026-09-08T09:15:30.000Z,00QP500000uKKLhMAO,Status,Not reached,Appointment
2026-09-08T09:12:51.000Z,00QP500000uOGmaMAG,Status,Not reached,Mailjourney
2026-09-08T09:12:07.000Z,00QP500000tf0UDMAY,Status,Follow-up,Mailjourney
2026-09-08T09:10:02.000Z,00QP500000poJmsMAE,Status,Follow-up,Mailjourney
2026-09-08T09:09:37.000Z,00QP500000t60AbMAI,Status,Follow-up,Mailjourney
2026-09-08T09:09:17.000Z,00QP500000uKJ6IMAW,Status,Not reached,Follow-up
2026-09-08T09:07:01.000Z,00QP500000tPfBZMA0,Status,Follow-up,Mailjourney
2026-09-08T09:06:29.000Z,00QP500000tdCHlMAM,Status,Follow-up,Mailjourney
2026-09-08T09:06:21.000Z,00QP500000uXMCoMAO,Status,Not reached,Appointment
2026-09-08T09:05:25.000Z,00QP500000uYuvcMAC,Status,Not reached,Follow-up
2026-09-08T09:05:23.000Z,00QP500000uJ6hNMAS,Status,Not reached,Mailjourney
2026-09-08T09:04:49.000Z,00QP500000tiH0fMAE,Status,Follow-up,Mailjourney
2026-09-08T09:04:39.000Z,00QP500000uCfLhMAK,Status,Not reached,Mailjourney
2026-09-08T09:03:41.000Z,00QP500000uBNPGMA4,Status,Not reached,Mailjourney
2026-09-08T09:03:37.000Z,00QP500000uNsvXMAS,Status,Not reached,Lost
2026-09-08T08:59:54.000Z,00QQD00000BYgBO2A1,Status,Mailjourney,Re-entered
2026-09-08T08:59:20.000Z,00QP500000ubdlKMAQ,Status,New,Mailjourney
2026-09-08T08:55:18.000Z,00QP500000ubonFMAQ,Status,New,Appointment
2026-09-08T08:55:15.000Z,00QP500000uNNV9MAO,Status,Not reached,Appointment
2026-09-08T08:53:37.000Z,00QP500000skADNMA2,Status,Follow-up,Mailjourney
2026-09-08T08:50:11.000Z,00QQD00000ZH1TS2A1,Status,Re-entered,New
2026-09-08T08:47:41.000Z,00QP500000uTaZLMA0,Status,Not reached,Appointment
2026-09-08T08:47:12.000Z,00QP500000rtdjlMAA,Status,Not reached,Mailjourney
2026-09-08T08:46:56.000Z,00QQD00000RQ1sx2AD,Status,Mailjourney,Not Qualified
2026-09-08T08:46:28.000Z,00QQD00000c40d32AA,Status,Follow-up,Lost
2026-09-08T08:46:03.000Z,00QP500000rtdjlMAA,Status,Re-entered,Not reached
2026-09-08T08:44:39.000Z,00QP500000uQQUuMAO,Status,Not reached,Appointment
2026-09-08T08:44:33.000Z,00QP500000uFD4jMAG,Status,Not reached,Appointment
2026-09-08T08:44:13.000Z,00QP500000uJdofMAC,Status,Not reached,Follow-up
2026-09-08T08:43:16.000Z,00QP500000uNuPYMA0,Status,Not reached,Appointment
2026-09-08T08:43:10.000Z,00QQD00000bPJWn2AO,Status,Follow-up,Mailjourney
2026-09-08T08:42:08.000Z,00QP500000uY38BMAS,Status,New,Not reached
2026-09-08T08:41:02.000Z,00QQD00000bcrnZ2AQ,Status,Follow-up,Mailjourney
